year,social,technical,n,rho,p,sig
3,issue_count,total_impl_smells,161,0.16333749342301376,0.038424599764763014,True
3,timezone_count,total_code_smells,161,0.13861153189485761,0.07950697496624756,False
3,timezone_count,total_design_smells,161,0.0969240897671858,0.22128128917309467,False
3,timezone_count,total_impl_smells,161,0.1295880589284937,0.10133993270155539,False
4,bus_factor_number,total_code_smells,134,-0.14292724452832753,0.0994611277423093,False
4,bus_factor_number,total_design_smells,134,-0.13794698714654693,0.11194745959895673,False
4,bus_factor_number,total_impl_smells,134,-0.13083229482003392,0.13186474214629593,False
4,commit_count,total_code_smells,134,0.4969645193823362,1.010628679780505e-09,True
4,commit_count,total_design_smells,134,0.5136594538600777,2.1951584375367077e-10,True
4,commit_count,total_impl_smells,134,0.4458681844586269,6.704541421994265e-08,True
4,author_count,total_code_smells,134,0.2744155525426527,0.001333563141642869,True
4,author_count,total_design_smells,134,0.26231231307141806,0.002199824745012287,True
4,author_count,total_impl_smells,134,0.2589703612958294,0.002515816352567402,True
4,pr_count,total_code_smells,134,0.1986731410159418,0.021377419894504916,True
4,pr_count,total_design_smells,134,0.16674733532971345,0.054146784629195935,False
4,pr_count,total_impl_smells,134,0.2053899723316161,0.017278553099638518,True
4,issue_count,total_code_smells,134,0.11523401292487188,0.18488793526279224,False
4,issue_count,total_design_smells,134,0.11804457609616285,0.17433128369691384,False
4,issue_count,total_impl_smells,134,0.0965843954573263,0.2669264798984072,False
4,timezone_count,total_code_smells,134,0.10996367204970586,0.20593029547003364,False
4,timezone_count,total_design_smells,134,0.08700492122319142,0.3174962890872985,False
4,timezone_count,total_impl_smells,134,0.0927765833409192,0.28633029808141647,False
5,bus_factor_number,total_code_smells,119,-0.15749255840853413,0.0871551337541846,False
5,bus_factor_number,total_design_smells,119,-0.1390796372589701,0.13142483434241808,False
5,bus_factor_number,total_impl_smells,119,-0.14768226286229236,0.10897434970715102,False
5,commit_count,total_code_smells,119,0.4481197034725736,3.2138264190048357e-07,True
5,commit_count,total_design_smells,119,0.4902154394364199,1.5235466694311312e-08,True
5,commit_count,total_impl_smells,119,0.3838065573003419,1.6410179156252222e-05,True
5,author_count,total_code_smells,119,0.28126268242344193,0.0019441665488329955,True
5,author_count,total_design_smells,119,0.268517875126706,0.0031501550948334514,True
5,author_count,total_impl_smells,119,0.26281188355622553,0.003881694395006861,True
5,pr_count,total_code_smells,119,0.14741399734625452,0.10962600031641827,False
5,pr_count,total_design_smells,119,0.1344830428918165,0.14478967816579005,False
5,pr_count,total_impl_smells,119,0.14864076180718117,0.10667071481641026,False
5,issue_count,total_code_smells,119,0.08495800441414199,0.3582722677810263,False
5,issue_count,total_design_smells,119,0.09663726369934593,0.29578728216608025,False
5,issue_count,total_impl_smells,119,0.06066894735743742,0.5121854664179418,False
5,timezone_count,total_code_smells,119,0.08458209623239875,0.36041068058783465,False
5,timezone_count,total_design_smells,119,0.08006841607319136,0.38670148834610074,False
5,timezone_count,total_impl_smells,119,0.059895139651360285,0.5175908426983629,False
