year,n,total_code_smells_median,total_code_smells_mean,total_code_smells_std,total_design_smells_median,total_design_smells_mean,total_design_smells_std,total_impl_smells_median,total_impl_smells_mean,total_impl_smells_std,commit_count_median,commit_count_mean,commit_count_std,author_count_median,author_count_mean,author_count_std,bus_factor_number_median,bus_factor_number_mean,bus_factor_number_std,pr_count_median,pr_count_mean,pr_count_std,issue_count_median,issue_count_mean,issue_count_std,timezone_count_median,timezone_count_mean,timezone_count_std,days_active_median,days_active_mean,days_active_std,lone_wolf_n,lone_wolf_pct,radio_silence_n,radio_silence_pct
1,208,50.5,250.125,766.2335536216436,15.5,77.32211538461539,271.6483359892806,30.5,172.8028846153846,514.3531978762763,16.0,55.09615384615385,135.73909466651244,2.0,3.769230769230769,7.712504144463868,0.8973500000000001,0.7907283653846153,0.2439648561315068,0.0,13.966346153846153,91.1817414456334,0.0,1.7692307692307692,4.844900240729788,1.0,1.8413461538461537,1.4542365612984085,155.5,573.3846153846154,759.9794785901211,103,49.519230769230774,112,53.84615384615385
2,178,44.0,262.29213483146066,819.8582790890733,13.5,80.74157303370787,290.7576515489055,28.5,181.5505617977528,550.3867055785856,11.5,54.57303370786517,145.26472134937208,2.0,3.5,8.119342880649844,0.93445,0.8101797752808988,0.23266256703029037,0.0,12.219101123595506,96.15883914102835,0.0,1.4606741573033708,4.311477730536283,1.0,1.7303370786516854,1.3676161365805413,90.0,462.8988764044944,681.0755376764969,93,52.24719101123596,97,54.49438202247191
3,161,46.0,261.639751552795,838.0373242940543,15.0,81.77639751552795,301.4418056432136,30.0,179.86335403726707,553.3327039053269,12.0,56.41614906832298,151.8936123988683,2.0,3.080745341614907,6.346234272463773,0.9375,0.8193993788819874,0.22702776743630237,0.0,11.503105590062113,100.5535382410536,0.0,1.1055900621118013,2.637713224727173,1.0,1.6770186335403727,1.2971241482219893,77.0,444.99378881987576,686.7634645284941,86,53.41614906832298,92,57.14285714285714
4,134,44.0,209.44776119402985,469.0058044619599,15.5,62.88059701492537,183.55770004212212,28.0,146.56716417910448,314.2536556934695,14.0,63.082089552238806,164.6716965562958,2.0,3.1641791044776117,6.736941174504424,0.93655,0.8192141791044777,0.22548773374203318,0.0,13.544776119402986,110.2868860207096,0.0,1.208955223880597,2.7803678743606963,1.0,1.7313432835820894,1.3719213194765398,90.0,419.3805970149254,640.6064536771964,71,52.98507462686567,71,52.98507462686567
5,119,44.0,171.54621848739495,347.0571375783151,16.0,46.260504201680675,86.38546470100184,28.0,125.28571428571429,273.0617718298679,12.0,45.39495798319328,129.50716350106444,2.0,2.411764705882353,2.992679669658022,0.9444,0.8340176470588235,0.21033544945184982,0.0,13.252100840336135,116.69983359372581,0.0,1.2016806722689075,2.778793275264853,1.0,1.7226890756302522,1.401720309560926,72.0,373.07563025210084,597.9739685913985,66,55.46218487394958,67,56.30252100840336
