repo_name,CommitCount,DaysActive,AuthorCount,TimezoneCount,SponsoredAuthorCount,PercentageSponsoredAuthors,NumberPRs,NumberIssues,NumberPRComments,NumberIssueComments,PRCommentsPositive,PRCommentsNegative,IssueCommentsPositive,IssueCommentsNegative,PRCommentsNegativeRatio,IssueCommentsNegativeRatio,PRCommentsToxicityPercentage,IssueCommentsToxicityPercentage,BusFactorNumber,commitCentrality_Density,commitCentrality_Community Count,commitCentrality_TFN,commitCentrality_TFC,commitCentrality_NumberHighCentralityAuthors,commitCentrality_PercentageHighCentralityAuthors,AuthorActiveDays_mean,AuthorActiveDays_stdev,AuthorCommitCount_mean,AuthorCommitCount_stdev,commitCentrality_Centrality_mean,commitCentrality_Centrality_stdev,commitCentrality_Centrality_count,commitCentrality_Betweenness_mean,commitCentrality_Betweenness_count,commitCentrality_Closeness_mean,commitCentrality_Closeness_count,PRParticipantsCount_mean,PRParticipantsCount_stdev,IssueParticipantCount_mean,IssueParticipantCount_stdev,PRCommentsCount_mean,IssueCommentsCount_mean,PRDuration_mean,IssueDuration_mean,NumberReleases,ACCL,RPCPR,RPCIssue,FirstCommitDate,LastCommitDate,NumberActiveExperiencedDevs,SponsoredTFC,ExperiencedTFC
ms-identity-android-java,112,2221,28,8,14,0.5,75,26,23,37,3,0,13,12,0.0,0.15384615384615385,0,0,1.0,0.09523809523809523,7,28,0.0,0,0.0,100.64285714285714,195.4690871241896,4,5.912948753622254,0.09523809523809523,0.0556045247634372,28,0.006715506715506716,28,0.1249794459694209,28,1.88,1.2940612793042665,1.8076923076923077,1.233506571339797,0.30666666666666664,1.4230769230769231,59.733333333333334,930.2692307692307,,210.52937720329024,0,0,2019-06-30,2025-07-30,0,31.25,51.78571428571429
ms-identity-docs-code-java,29,1064,8,7,2,0.25,51,,54,,7,0,,,0.0,,0,,,0.25,4,7,44.827586206896555,1,0.125,58.5,118.4229707446997,3.625,4.307385683749649,0.25,0.16642353500306215,8,0.023809523809523808,8,0.2976190476190476,8,0.9607843137254902,1.2642908575755105,,,1.0588235294117647,,147.37254901960785,,,0,0,,2021-11-16,2024-10-16,,,
open-liberty-on-aks,124,1575,11,6,3,0.2727272727272727,48,1,22,5,6,1,3,1,0.0,0.0,0,0,0.7777777777777778,0.2909090909090909,3,9,64.51612903225806,2,0.18181818181818182,303.45454545454544,555.2254251448439,11.272727272727273,17.228412051555473,0.29090909090909095,0.21658506621900533,11,0.09494949494949495,11,0.5586512482583164,11,1.1875,0.5707870639217619,2,0,0.4583333333333333,5,9.041666666666666,34,,339.3727272727273,0,0,2020-12-30,2025-04-23,0,14.516129032258066,66.12903225806451
demo-DSV-java,3,0,1,1,1,1.0,,,,,,,,,,,,,,,,,,,,1,0,3,0,,,,,,,,,,,,,,,,,,,,2023-01-14,2023-01-15,,,
java-oop-examples,9,1547,2,1,0,0.0,8,,8,,2,0,,,0.0,,0,,,0,2,2,0.0,0,0.0,4.5,4.949747468305833,4.5,4.949747468305833,0.0,0.0,2,0.0,2,0.0,2,0.25,0.4629100498862757,,,1,,50.5,,,0,0,,2018-06-01,2022-08-26,,,
helloworld,4,1641,2,2,2,1.0,74,3,20,1,3,0,0,0,0.0,0.0,0,0,1.0,0,2,2,0.0,0,0.0,187,263.0437226013957,2,1.4142135623730951,0.0,0.0,2,0.0,2,0.0,2,1.5675675675675675,0.5255416274867287,1.6666666666666667,0.5773502691896257,0.2702702702702703,0.3333333333333333,486.0945945945946,417.3333333333333,,15.375,0,0,2018-09-08,2023-03-08,0,100.0,75.0
cybersource-rest-samples-java,423,2670,30,4,9,0.3,116,15,15,8,4,2,3,1,0.017241379310344827,0.06666666666666667,0,0,0.9375,0.2942528735632184,3,27,43.02600472813239,3,0.1,379,619.8243355149519,14.1,30.040604704873747,0.2942528735632184,0.19075636062993676,30,0.026683087027914613,30,0.5836450170613221,30,1.7413793103448276,0.6867781067535875,1.3333333333333333,0.4879500364742666,0.12931034482758622,0.5333333333333333,80.49137931034483,1414.0666666666666,,111.4875,0,0,2018-09-14,2026-01-06,0,15.36643026004728,82.03309692671394
_100DaysOfCode,35,399,2,1,0,0.0,,,,,,,,,,,,,,1.0,1,0,100.0,2,1.0,202.5,267.9934700697015,17.5,19.091883092036785,1.0,0.0,2,0.0,2,1.0,2,,,,,,,,,,,,,2023-09-13,2024-10-17,,,
datomic-java-examples,71,4645,8,5,2,0.25,4,3,1,3,1,0,1,1,0.0,0.3333333333333333,0,0,1.0,0.21428571428571427,3,8,0.0,0,0.0,492.25,588.0788941241522,8.875,8.871100753087442,0.21428571428571427,0.10798984943120778,8,0.023809523809523808,8,0.24107142857142855,8,0.75,0.9574271077563381,2,0.0,0.25,1,1005.5,820.3333333333334,,396.6666666666667,0,0,2012-10-24,2025-07-14,0,4.225352112676056,87.32394366197182
Java_Sample_Codes,2,6,1,1,0,0.0,,1,,0,,,0,0,,0.0,,0,,0,1,0,100.0,1,1.0,7,0,2,0,1,0,1,0.0,1,0.0,1,,,1,0,,0,,841,,,,0,2023-10-21,2023-10-28,,,
JavabackEnd_Project,10,0,5,1,5,1.0,,,,,,,,,,,,,,,,,,,,1,0.0,2,1.4142135623730951,,,,,,,,,,,,,,,,,,,,2025-07-30,2025-07-30,,,
ddd,21,2063,2,1,0,0.0,,2,,0,,,0,0,,0.0,,0,,1.0,1,0,100.0,2,1.0,1036,1453.8115421195416,10.5,0.7071067811865476,1.0,0.0,2,0.0,2,1.0,2,,,1,0.0,,0,,1281.5,,,,0,2019-05-19,2025-01-10,,,
javalab,81,119,8,1,8,1.0,21,1,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1.0,1,0,100.0,8,1.0,15.875,42.072853480599576,10.125,22.592271118365108,1.0,0.0,8,0.0,8,1.0,8,1.7142857142857142,0.4629100498862757,1,0,0,0,0,0,,0.0,0,0,2024-02-24,2024-06-22,0,100.0,0.0
foglight-rest-api-java-sample-code,8,97,3,2,1,0.3333333333333333,,,,,,,,,,,,,,1.0,1,0,100.0,3,1.0,33.333333333333336,56.0029761113937,2.6666666666666665,2.886751345948129,1.0,0.0,3,0.0,3,1.0,3,,,,,,,,,,,,,2017-07-05,2017-10-11,,,
