repo_name,total_design_smells,total_impl_smells,total_code_smells,God_Class,Feature_Envy,Unutilized_Abstraction,Deficient_Encapsulation,Unexploited_Encapsulation,Multifaceted_Abstraction,Insufficient_Modularization,Hub_Like_Modularization,Cyclically_Dependent_Modularization,Broken_Hierarchy,Rebellious_Hierarchy,Missing_Hierarchy,Wide_Hierarchy,Deep_Hierarchy,Long_Method,Complex_Method,Long_Parameter_List,Magic_Number,Duplicate_Code,Empty_Catch_Clause,Long_Statement,Long_Identifier,Missing_Default,Complex_Conditional,num_classes,num_methods,total_LOC,mean_LOC,median_LOC,mean_WMC,mean_NOM,mean_FANIN,mean_FANOUT,mean_LCOM,mean_DIT,mean_method_LOC,mean_CC,max_CC,smell_density,CommitCount,DaysActive,AuthorCount,TimezoneCount,NumberPRs,NumberIssues,BusFactorNumber,commitCentrality_Density,commitCentrality_Community Count,commitCentrality_NumberHighCentralityAuthors,PRParticipantsCount_mean,IssueParticipantCount_mean,IssueCommentsCount_mean,AuthorCommitCount_mean,AuthorActiveDays_mean,commitCentrality_Centrality_mean,lone_wolf,radio_silence,org_silo,dataset_version
data-box-samples,1,231,232,0,0,1,0,,,,,,,,,,,1,0,0,229,0,,,,,,,,,,,,,,,,,,,,,46,919,9,4,8.0,,,0.3055555555555556,3.0,2.0,2.125,,,5.111111111111111,90.22222222222224,0.3055555555555556,0,0,0,V1
ms-identity-android-java,11,51,62,0,0,6,2,,,,,,,,,,,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,112,2221,28,8,75.0,26.0,1.0,0.0952380952380952,7.0,0.0,1.88,1.807692307692308,1.4230769230769231,4.0,100.64285714285714,0.0952380952380952,1,0,1,V1
ms-identity-docs-code-java,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,29,1064,8,7,51.0,,,0.25,4.0,1.0,0.9607843137254902,,,3.625,58.5,0.25,0,0,1,V1
open-liberty-on-aks,6,2,8,0,0,6,0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,124,1575,11,6,48.0,1.0,0.7777777777777778,0.2909090909090909,3.0,2.0,1.1875,2.0,5.0,11.272727272727272,303.45454545454544,0.2909090909090909,0,0,1,V1
demo-DSV-java,1,2,3,0,0,1,0,,,,,,,,,,,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,3,0,1,1,,,,,,,,,,3.0,1.0,,0,1,0,V1
java-oop-examples,4,1,5,0,0,4,0,,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,9,1547,2,1,8.0,,,0.0,2.0,0.0,0.25,,,4.5,4.5,0.0,0,0,0,V1
HelloWorld,44,91,135,0,0,39,0,,,,,,,,,,,0,5,0,83,0,,,,,,,,,,,,,,,,,,,,,4,1641,2,2,74.0,3.0,1.0,0.0,2.0,0.0,1.5675675675675675,1.6666666666666667,0.3333333333333333,2.0,187.0,0.0,1,0,0,V1
cybersource-rest-samples-java,25,854,879,0,0,2,23,,,,,,,,,,,12,3,1,131,0,,,,,,,,,,,,,,,,,,,,,423,2670,30,4,116.0,15.0,0.9375,0.2942528735632184,3.0,3.0,1.7413793103448276,1.3333333333333333,0.5333333333333333,14.1,379.0,0.2942528735632184,1,0,1,V1
_100DaysOfCode,8,50,58,0,0,6,0,,,,,,,,,,,0,3,0,42,0,,,,,,,,,,,,,,,,,,,,,35,399,2,1,,,,1.0,1.0,2.0,,,,17.5,202.5,1.0,0,1,0,V1
datomic-java-examples,16,91,107,0,0,8,7,,,,,,,,,,,1,0,1,24,0,,,,,,,,,,,,,,,,,,,,,71,4645,8,5,4.0,3.0,1.0,0.2142857142857142,3.0,0.0,0.75,2.0,1.0,8.875,492.25,0.2142857142857142,1,0,1,V1
Java_Sample_Codes,43,145,188,0,0,43,0,,,,,,,,,,,0,1,0,142,0,,,,,,,,,,,,,,,,,,,,,2,6,1,1,,1.0,,0.0,1.0,1.0,,1.0,0.0,2.0,7.0,1.0,0,0,0,V1
javabackend_project,2,2,4,0,0,2,0,,,,,,,,,,,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,10,0,5,1,,,,,,,,,,2.0,1.0,,0,1,0,V1
ddd,3,2,5,0,0,3,0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,21,2063,2,1,,2.0,,1.0,1.0,2.0,,1.0,0.0,10.5,1036.0,1.0,0,0,0,V1
javalab,53,158,211,0,0,52,0,,,,,,,,,,,0,2,0,146,0,,,,,,,,,,,,,,,,,,,,,81,119,8,1,21.0,1.0,0.0,1.0,1.0,8.0,1.7142857142857142,1.0,0.0,10.125,15.875,1.0,0,0,0,V1
foglight-rest-api-java-sample-code,19,62,81,0,0,14,0,,,,,,,,,,,0,5,2,34,0,,,,,,,,,,,,,,,,,,,,,8,97,3,2,,,,1.0,1.0,3.0,,,,2.6666666666666665,33.333333333333336,1.0,0,1,0,V1
Code_Along_with_GZM__JAVA,5,8,13,0,0,5,0,,,,,,,,,,,0,0,0,8,0,,,,,,,,,,,,,,,,,,,,,13,1,3,1,4.0,,,1.0,1.0,3.0,2.0,,,4.333333333333333,1.3333333333333333,1.0,0,0,0,V1
JavaCodeSnippets,139,260,399,0,0,133,0,,,,,,,,,,,0,0,0,250,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,,,,,,,,,,1.0,1.0,,0,1,0,V1
javalabs,4,7,11,0,0,4,0,,,,,,,,,,,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,19,51,2,1,,,,1.0,1.0,2.0,,,,9.5,26.5,1.0,0,1,0,V1
VLC-SCFS004-24-0650,86,261,347,0,0,72,3,,,,,,,,,,,0,3,1,246,0,,,,,,,,,,,,,,,,,,,,,138,21,1,1,,,,0.0,1.0,1.0,,,,138.0,22.0,1.0,0,1,0,V1
hms-push-serverdemo-java,65,109,174,0,0,34,1,,,,,,,,,,,0,2,2,42,0,,,,,,,,,,,,,,,,,,,,,33,1126,6,1,5.0,19.0,0.8823529411764706,0.4,2.0,2.0,1.0,1.6842105263157894,0.7894736842105263,5.5,351.3333333333333,0.4,0,0,0,V1
ibm-developer-java,15,23,38,0,0,12,3,,,,,,,,,,,0,1,0,8,0,,,,,,,,,,,,,,,,,,,,,10,137,4,3,6.0,,,0.1666666666666666,3.0,0.0,0.8333333333333334,,,2.5,15.5,0.1666666666666666,0,0,1,V1
mongodb-java-examples,10,17,27,0,0,9,1,,,,,,,,,,,0,5,0,11,0,,,,,,,,,,,,,,,,,,,,,21,664,1,2,,,,0.0,1.0,1.0,,,,21.0,665.0,1.0,0,1,0,V1
Java8,64,110,174,0,0,57,3,,,,,,,,,,,0,0,1,91,0,,,,,,,,,,,,,,,,,,,,,17,2052,1,1,,,,0.0,1.0,1.0,,,,17.0,2053.0,1.0,0,1,0,V1
javamoney-examples,373,1489,1862,0,0,275,26,,,,,,,,,,,0,39,61,1234,0,,,,,,,,,,,,,,,,,,,,,472,4455,10,10,31.0,40.0,0.9565217391304348,0.2888888888888888,3.0,1.0,1.2580645161290325,1.675,2.325,47.2,996.1,0.2888888888888888,1,0,1,V1
JavaDemoJenkins,1,0,1,0,0,1,0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,,,,,,,,,,2.0,1.0,,0,1,0,V1
KeyAuth-JAVA-api,1,30,31,0,0,0,1,,,,,,,,,,,0,0,0,16,0,,,,,,,,,,,,,,,,,,,,,11,111,1,1,1.0,,,0.0,1.0,1.0,1.0,,,11.0,112.0,1.0,0,0,0,V1
JavaDemoApplication,4,4,8,0,0,4,0,,,,,,,,,,,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,11,399,3,1,,,,0.0,3.0,0.0,,,,3.6666666666666665,9.0,0.0,0,1,1,V1
JavaTutorialProjectsGuidedPersonal,2,105,107,0,0,1,0,,,,,,,,,,,1,0,0,102,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,,,,,,,,,,1.0,1.0,,0,1,0,V1
Java-Demo-Application-with-Spring-Boot-and-Security,18,27,45,0,0,15,0,,,,,,,,,,,0,0,2,11,0,,,,,,,,,,,,,,,,,,,,,3,0,1,1,,,,,,,,,,3.0,1.0,,0,1,0,V1
Proj11x,4,0,4,0,0,2,0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,,,,,,,,,,1.0,1.0,,0,1,0,V1
gateway-java-sample-code,14,106,120,0,0,7,3,,,,,,,,,,,1,2,2,5,0,,,,,,,,,,,,,,,,,,,,,564,700,21,5,29.0,,,0.4523809523809524,3.0,8.0,1.5517241379310345,,,26.857142857142858,113.47619047619048,0.4523809523809524,0,0,0,V1
javaSamples1,24,95,119,0,0,17,6,,,,,,,,,,,0,2,1,73,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,,,,,,,,,,1.0,1.0,,0,1,0,V1
outlook-actionable-messages-java-token-validation,1,2,3,0,0,1,0,,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,27,977,5,2,,,,0.3,3.0,0.0,,,,5.4,175.4,0.3,0,1,0,V1
Commerce-API-Java,7,31,38,0,0,6,0,,,,,,,,,,,0,0,3,1,0,,,,,,,,,,,,,,,,,,,,,16,19,2,1,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,8.0,10.5,1.0,0,0,0,V1
azure4j-blog-samples,25,47,72,0,0,11,3,,,,,,,,,,,0,0,1,18,0,,,,,,,,,,,,,,,,,,,,,15,20,1,1,,,,0.0,1.0,1.0,,,,15.0,21.0,1.0,0,1,0,V1
Java_MVVM_with_Swing_and_RxJava_Examples,64,374,438,0,0,39,22,,,,,,,,,,,0,0,0,325,0,,,,,,,,,,,,,,,,,,,,,112,440,2,3,3.0,5.0,0.6,1.0,1.0,2.0,1.6666666666666667,2.0,4.4,56.0,221.0,1.0,0,0,0,V1
gs-relational-data-access,1,2,3,0,0,1,0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3,0,1,1,,,,,,,,,,3.0,1.0,,0,1,0,V1
java_examples,4,6,10,0,0,4,0,,,,,,,,,,,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,14,1871,3,2,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,2.0,2.0,5.0,4.666666666666667,624.6666666666666,0.6666666666666666,0,0,0,V1
JavaTutorialsProject,24,47,71,0,0,20,0,,,,,,,,,,,0,1,0,42,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,,,,,,,,,,1.0,1.0,,0,1,0,V1
JAVA-SAMPLE-CODES,18,31,49,0,0,18,0,,,,,,,,,,,0,0,0,28,0,,,,,,,,,,,,,,,,,,,,,42,44,1,1,,,,0.0,1.0,1.0,,,,42.0,45.0,1.0,0,1,0,V1
JavaSampleCodeForPull,61,240,301,0,0,48,8,,,,,,,,,,,0,4,8,215,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,,,,,,,,,,1.0,1.0,,0,1,0,V1
JavaLearningTutorial,15,3,18,0,0,12,0,,,,,,,,,,,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,,,,,,,,,,1.0,1.0,,0,1,0,V1
JAVA_TUTORIAL_PROJECTS,3,14,17,0,0,3,0,,,,,,,,,,,0,0,0,13,0,,,,,,,,,,,,,,,,,,,,,6,94,1,1,1.0,,,0.0,1.0,1.0,1.0,,,6.0,95.0,1.0,0,0,0,V1
hexagonal-architecture-java,5,2,7,0,0,4,0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,52,533,2,4,8.0,,,1.0,1.0,2.0,1.625,,,26.0,267.5,1.0,0,0,0,V1
aws-lambda-api-java-example,1,1,2,0,0,1,0,,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,,,,,,,,,,2.0,1.0,,0,1,0,V1
creational-design-patterns-example,19,6,25,0,0,19,0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,6,4,1,1,,,,0.0,1.0,1.0,,,,6.0,5.0,1.0,0,1,0,V1
structural-design-pattern-example,19,15,34,0,0,19,0,,,,,,,,,,,0,0,0,15,0,,,,,,,,,,,,,,,,,,,,,5,39,1,1,,,,0.0,1.0,1.0,,,,5.0,40.0,1.0,0,1,0,V1
JAVA,1,0,1,0,0,1,0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3128,3498,765,22,,1201.0,1.0,0.0472470314478321,7.0,0.0,,2.4188176519567026,2.758534554537885,4.088888888888889,31.07581699346405,0.0472470314478321,1,0,1,V1
ELK-Logger,2,0,2,0,0,2,0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,28,23,4,3,2.0,2.0,-1.0,1.0,1.0,4.0,2.0,1.0,0.0,7.0,1.0,1.0,0,0,0,V1
TestProject,2,0,2,0,0,1,0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,,,,,,,,,,1.0,1.0,,0,1,0,V1
JavaExamples,25,156,181,0,0,15,2,,,,,,,,,,,0,1,1,145,0,,,,,,,,,,,,,,,,,,,,,58,119,2,1,,,,1.0,1.0,2.0,,,,29.0,60.0,1.0,0,1,0,V1
CodingJava,2,2,4,0,0,2,0,,,,,,,,,,,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,5,0,3,1,,,,,,,,,,1.6666666666666667,1.0,,0,1,0,V1
JavaPractice,25,66,91,0,0,24,0,,,,,,,,,,,0,1,0,59,0,,,,,,,,,,,,,,,,,,,,,417,1095,2,1,1.0,,,1.0,1.0,2.0,0.0,,,208.5,606.5,1.0,0,0,0,V1
TensorFlow-Java-Examples,1,1,2,0,0,1,0,,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,4,0,2,1,,,,,,,,,,2.0,1.0,,0,1,0,V1
KodlamaIoJavaTutorialProjectsPart1Eclipse,17,71,88,0,0,16,0,,,,,,,,,,,0,6,0,61,0,,,,,,,,,,,,,,,,,,,,,7,2,2,1,,,,1.0,1.0,2.0,,,,3.5,2.0,1.0,0,1,0,V1
KodlamaIoJavaTutorialProjectsPart1Intellij,17,78,95,0,0,16,0,,,,,,,,,,,0,6,0,68,0,,,,,,,,,,,,,,,,,,,,,2,0,2,1,,,,,,,,,,1.0,1.0,,0,1,0,V1
REST-API-Sample,4,17,21,0,0,4,0,,,,,,,,,,,0,0,0,15,0,,,,,,,,,,,,,,,,,,,,,3,1500,2,2,1.0,,,0.0,2.0,0.0,1.0,,,1.5,8.5,0.0,0,0,0,V1
codeSamples,5,3,8,0,0,5,0,,,,,,,,,,,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,809,4566,5,4,3.0,,,0.4,1.0,1.0,0.0,,,161.8,1364.8,0.4,0,0,0,V1
amenity-reservation,8,3,11,0,0,4,0,,,,,,,,,,,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,9,535,2,2,,,,1.0,1.0,2.0,,,,4.5,267.0,1.0,0,1,0,V1
test-spring4-apps,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,,,,,,,,,,2.0,1.0,,0,1,0,V1
javademo,3,0,3,0,0,2,0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,397,0,67,3,,,,,,,,,,5.925373134328358,1.0,,0,1,0,V1
amv-trafficsoft-restclient-demo,10,20,30,0,0,7,0,,,,,,,,,,,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,22,287,2,2,,,,1.0,1.0,2.0,,,,11.0,188.5,1.0,0,1,0,V1
Java-Sample-Code,2,2,4,0,0,1,0,,,,,,,,,,,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,2,1,2,1,,,,1.0,1.0,2.0,,,,1.0,1.0,1.0,0,1,0,V1
Java-Code-Examples,10,26,36,0,0,10,0,,,,,,,,,,,0,0,1,23,0,,,,,,,,,,,,,,,,,,,,,20,32,1,1,,,,0.0,1.0,1.0,,,,20.0,33.0,1.0,0,1,0,V1
Java_SampleCode,36,253,289,0,0,23,11,,,,,,,,,,,4,12,0,152,0,,,,,,,,,,,,,,,,,,,,,3,31,2,1,,,,0.0,2.0,0.0,,,,1.5,1.0,0.0,0,1,0,V1
oracle_java_tutorial_projects,10,17,27,0,0,5,3,,,,,,,,,,,0,0,0,17,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,,,,,,,,,,1.0,1.0,,0,1,0,V1
receive_payment_java,0,7,7,0,0,0,0,,,,,,,,,,,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,4,0,1,2,,,,,,,,,,4.0,1.0,,0,1,0,V1
Aspose.BarCode-for-Java,41,1121,1162,0,0,36,1,,,,,,,,,,,0,4,3,1051,0,,,,,,,,,,,,,,,,,,,,,456,4649,30,5,30.0,1.0,1.0,0.0781609195402298,10.0,0.0,1.8666666666666667,2.0,2.0,15.2,151.43333333333334,0.0781609195402298,1,0,1,V1
Aspose.Cells-for-Java,307,2133,2440,0,0,257,14,,,,,,,,,,,5,21,6,1886,0,,,,,,,,,,,,,,,,,,,,,572,4711,35,5,46.0,28.0,1.0,0.1176470588235294,8.0,0.0,1.7173913043478262,2.107142857142857,3.607142857142857,16.34285714285714,313.1428571428572,0.1176470588235294,1,0,1,V1
Aspose.Diagram-for-Java,26,320,346,0,0,12,4,,,,,,,,,,,0,1,1,259,0,,,,,,,,,,,,,,,,,,,,,89,3015,21,3,16.0,5.0,1.0,0.0523809523809523,13.0,0.0,1.5625,2.0,2.0,4.238095238095238,178.9047619047619,0.0523809523809523,1,0,1,V1
Aspose.Email-for-Java,180,670,850,0,0,113,49,,,,,,,,,,,1,4,3,430,0,,,,,,,,,,,,,,,,,,,,,201,3018,33,5,42.0,6.0,1.0,0.0946969696969697,12.0,0.0,1.4761904761904765,1.8333333333333333,0.8333333333333334,6.090909090909091,183.66666666666663,0.0946969696969697,1,0,1,V1
