repo_name,CommitCount,AuthorCount,DaysActive,TimezoneCount,NumberPRs,NumberIssues,BusFactorNumber,commitCentrality_Density,commitCentrality_Community Count,commitCentrality_NumberHighCentralityAuthors,PRParticipantsCount_mean,IssueParticipantCount_mean,IssueCommentsCount_mean,AuthorCommitCount_mean,AuthorActiveDays_mean,commitCentrality_Centrality_mean,lone_wolf,radio_silence,org_silo,total_code_smells,total_design_smells,total_impl_smells,God_Class,Feature_Envy,Long_Method,Complex_Method,Long_Parameter_List,Magic_Number,Duplicate_Code,Unutilized_Abstraction,Deficient_Encapsulation
java-oop-examples,9,2,1547,1,8.0,,,0.0,2.0,0.0,0.25,,,4.5,4.5,0.0,0,0,0,5,4,1,0,0,0,0,0,1,0,4,0
HelloWorld,4,2,1641,2,74.0,3.0,1.0,0.0,2.0,0.0,1.5675675675675675,1.6666666666666667,0.3333333333333333,2.0,187.0,0.0,1,0,0,135,44,91,0,0,0,5,0,83,0,39,0
cybersource-rest-samples-java,423,30,2670,4,116.0,15.0,0.9375,0.2942528735632184,3.0,3.0,1.7413793103448276,1.3333333333333333,0.5333333333333333,14.1,379.0,0.2942528735632184,1,0,1,879,25,854,0,0,12,3,1,131,0,2,23
_100DaysOfCode,35,2,399,1,,,,1.0,1.0,2.0,,,,17.5,202.5,1.0,0,1,0,58,8,50,0,0,0,3,0,42,0,6,0
datomic-java-examples,71,8,4645,5,4.0,3.0,1.0,0.2142857142857142,3.0,0.0,0.75,2.0,1.0,8.875,492.25,0.2142857142857142,1,0,1,107,16,91,0,0,1,0,1,24,0,8,7
Java_Sample_Codes,2,1,6,1,,1.0,,0.0,1.0,1.0,,1.0,0.0,2.0,7.0,1.0,0,0,0,188,43,145,0,0,0,1,0,142,0,43,0
javabackend_project,10,5,0,1,,,,,,,,,,2.0,1.0,,0,1,0,4,2,2,0,0,0,0,0,2,0,2,0
ddd,21,2,2063,1,,2.0,,1.0,1.0,2.0,,1.0,0.0,10.5,1036.0,1.0,0,0,0,5,3,2,0,0,0,0,0,0,0,3,0
javalab,81,8,119,1,21.0,1.0,0.0,1.0,1.0,8.0,1.7142857142857142,1.0,0.0,10.125,15.875,1.0,0,0,0,211,53,158,0,0,0,2,0,146,0,52,0
foglight-rest-api-java-sample-code,8,3,97,2,,,,1.0,1.0,3.0,,,,2.6666666666666665,33.333333333333336,1.0,0,1,0,81,19,62,0,0,0,5,2,34,0,14,0
Code_Along_with_GZM__JAVA,13,3,1,1,4.0,,,1.0,1.0,3.0,2.0,,,4.333333333333333,1.3333333333333333,1.0,0,0,0,13,5,8,0,0,0,0,0,8,0,5,0
JavaCodeSnippets,1,1,0,1,,,,,,,,,,1.0,1.0,,0,1,0,399,139,260,0,0,0,0,0,250,0,133,0
javalabs,19,2,51,1,,,,1.0,1.0,2.0,,,,9.5,26.5,1.0,0,1,0,11,4,7,0,0,0,0,0,6,0,4,0
VLC-SCFS004-24-0650,138,1,21,1,,,,0.0,1.0,1.0,,,,138.0,22.0,1.0,0,1,0,347,86,261,0,0,0,3,1,246,0,72,3
hms-push-serverdemo-java,33,6,1126,1,5.0,19.0,0.8823529411764706,0.4,2.0,2.0,1.0,1.6842105263157894,0.7894736842105263,5.5,351.3333333333333,0.4,0,0,0,174,65,109,0,0,0,2,2,42,0,34,1
ibm-developer-java,10,4,137,3,6.0,,,0.1666666666666666,3.0,0.0,0.8333333333333334,,,2.5,15.5,0.1666666666666666,0,0,1,38,15,23,0,0,0,1,0,8,0,12,3
mongodb-java-examples,21,1,664,2,,,,0.0,1.0,1.0,,,,21.0,665.0,1.0,0,1,0,27,10,17,0,0,0,5,0,11,0,9,1
Java8,17,1,2052,1,,,,0.0,1.0,1.0,,,,17.0,2053.0,1.0,0,1,0,174,64,110,0,0,0,0,1,91,0,57,3
javamoney-examples,472,10,4455,10,31.0,40.0,0.9565217391304348,0.2888888888888888,3.0,1.0,1.2580645161290325,1.675,2.325,47.2,996.1,0.2888888888888888,1,0,1,1862,373,1489,0,0,0,39,61,1234,0,275,26
JavaDemoJenkins,2,1,0,1,,,,,,,,,,2.0,1.0,,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
KeyAuth-JAVA-api,11,1,111,1,1.0,,,0.0,1.0,1.0,1.0,,,11.0,112.0,1.0,0,0,0,31,1,30,0,0,0,0,0,16,0,0,1
JavaDemoApplication,11,3,399,1,,,,0.0,3.0,0.0,,,,3.6666666666666665,9.0,0.0,0,1,1,8,4,4,0,0,0,0,1,1,0,4,0
JavaTutorialProjectsGuidedPersonal,1,1,0,1,,,,,,,,,,1.0,1.0,,0,1,0,107,2,105,0,0,1,0,0,102,0,1,0
Java-Demo-Application-with-Spring-Boot-and-Security,3,1,0,1,,,,,,,,,,3.0,1.0,,0,1,0,45,18,27,0,0,0,0,2,11,0,15,0
Proj11x,1,1,0,1,,,,,,,,,,1.0,1.0,,0,1,0,4,4,0,0,0,0,0,0,0,0,2,0
gateway-java-sample-code,564,21,700,5,29.0,,,0.4523809523809524,3.0,8.0,1.5517241379310345,,,26.857142857142858,113.47619047619048,0.4523809523809524,0,0,0,120,14,106,0,0,1,2,2,5,0,7,3
javaSamples1,1,1,0,1,,,,,,,,,,1.0,1.0,,0,1,0,119,24,95,0,0,0,2,1,73,0,17,6
outlook-actionable-messages-java-token-validation,27,5,977,2,,,,0.3,3.0,0.0,,,,5.4,175.4,0.3,0,1,0,3,1,2,0,0,0,0,0,1,0,1,0
Commerce-API-Java,16,2,19,1,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,8.0,10.5,1.0,0,0,0,38,7,31,0,0,0,0,3,1,0,6,0
azure4j-blog-samples,15,1,20,1,,,,0.0,1.0,1.0,,,,15.0,21.0,1.0,0,1,0,72,25,47,0,0,0,0,1,18,0,11,3
Java_MVVM_with_Swing_and_RxJava_Examples,112,2,440,3,3.0,5.0,0.6,1.0,1.0,2.0,1.6666666666666667,2.0,4.4,56.0,221.0,1.0,0,0,0,438,64,374,0,0,0,0,0,325,0,39,22
gs-relational-data-access,3,1,0,1,,,,,,,,,,3.0,1.0,,0,1,0,3,1,2,0,0,0,0,0,0,0,1,0
java_examples,14,3,1871,2,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,2.0,2.0,5.0,4.666666666666667,624.6666666666666,0.6666666666666666,0,0,0,10,4,6,0,0,0,0,0,6,0,4,0
JavaTutorialsProject,1,1,0,1,,,,,,,,,,1.0,1.0,,0,1,0,71,24,47,0,0,0,1,0,42,0,20,0
JAVA-SAMPLE-CODES,42,1,44,1,,,,0.0,1.0,1.0,,,,42.0,45.0,1.0,0,1,0,49,18,31,0,0,0,0,0,28,0,18,0
JavaSampleCodeForPull,1,1,0,1,,,,,,,,,,1.0,1.0,,0,1,0,301,61,240,0,0,0,4,8,215,0,48,8
JavaLearningTutorial,1,1,0,1,,,,,,,,,,1.0,1.0,,0,1,0,18,15,3,0,0,0,0,3,0,0,12,0
JAVA_TUTORIAL_PROJECTS,6,1,94,1,1.0,,,0.0,1.0,1.0,1.0,,,6.0,95.0,1.0,0,0,0,17,3,14,0,0,0,0,0,13,0,3,0
hexagonal-architecture-java,52,2,533,4,8.0,,,1.0,1.0,2.0,1.625,,,26.0,267.5,1.0,0,0,0,7,5,2,0,0,0,0,0,0,0,4,0
aws-lambda-api-java-example,2,1,0,1,,,,,,,,,,2.0,1.0,,0,1,0,2,1,1,0,0,0,0,0,1,0,1,0
creational-design-patterns-example,6,1,4,1,,,,0.0,1.0,1.0,,,,6.0,5.0,1.0,0,1,0,25,19,6,0,0,0,0,0,0,0,19,0
structural-design-pattern-example,5,1,39,1,,,,0.0,1.0,1.0,,,,5.0,40.0,1.0,0,1,0,34,19,15,0,0,0,0,0,15,0,19,0
JAVA,3128,765,3498,22,,1201.0,1.0,0.0472470314478321,7.0,0.0,,2.4188176519567026,2.758534554537885,4.088888888888889,31.07581699346405,0.0472470314478321,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
ELK-Logger,28,4,23,3,2.0,2.0,-1.0,1.0,1.0,4.0,2.0,1.0,0.0,7.0,1.0,1.0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0
TestProject,1,1,0,1,,,,,,,,,,1.0,1.0,,0,1,0,2,2,0,0,0,0,0,0,0,0,1,0
JavaExamples,58,2,119,1,,,,1.0,1.0,2.0,,,,29.0,60.0,1.0,0,1,0,181,25,156,0,0,0,1,1,145,0,15,2
CodingJava,5,3,0,1,,,,,,,,,,1.6666666666666667,1.0,,0,1,0,4,2,2,0,0,0,0,0,2,0,2,0
JavaPractice,417,2,1095,1,1.0,,,1.0,1.0,2.0,0.0,,,208.5,606.5,1.0,0,0,0,91,25,66,0,0,0,1,0,59,0,24,0
TensorFlow-Java-Examples,4,2,0,1,,,,,,,,,,2.0,1.0,,0,1,0,2,1,1,0,0,0,0,0,1,0,1,0
KodlamaIoJavaTutorialProjectsPart1Eclipse,7,2,2,1,,,,1.0,1.0,2.0,,,,3.5,2.0,1.0,0,1,0,88,17,71,0,0,0,6,0,61,0,16,0
KodlamaIoJavaTutorialProjectsPart1Intellij,2,2,0,1,,,,,,,,,,1.0,1.0,,0,1,0,95,17,78,0,0,0,6,0,68,0,16,0
REST-API-Sample,3,2,1500,2,1.0,,,0.0,2.0,0.0,1.0,,,1.5,8.5,0.0,0,0,0,21,4,17,0,0,0,0,0,15,0,4,0
codeSamples,809,5,4566,4,3.0,,,0.4,1.0,1.0,0.0,,,161.8,1364.8,0.4,0,0,0,8,5,3,0,0,0,0,0,3,0,5,0
amenity-reservation,9,2,535,2,,,,1.0,1.0,2.0,,,,4.5,267.0,1.0,0,1,0,11,8,3,0,0,0,0,0,2,0,4,0
test-spring4-apps,2,1,0,1,,,,,,,,,,2.0,1.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
javademo,397,67,0,3,,,,,,,,,,5.925373134328358,1.0,,0,1,0,3,3,0,0,0,0,0,0,0,0,2,0
amv-trafficsoft-restclient-demo,22,2,287,2,,,,1.0,1.0,2.0,,,,11.0,188.5,1.0,0,1,0,30,10,20,0,0,0,0,0,4,0,7,0
Java-Sample-Code,2,2,1,1,,,,1.0,1.0,2.0,,,,1.0,1.0,1.0,0,1,0,4,2,2,0,0,0,0,0,2,0,1,0
Java-Code-Examples,20,1,32,1,,,,0.0,1.0,1.0,,,,20.0,33.0,1.0,0,1,0,36,10,26,0,0,0,0,1,23,0,10,0
Java_SampleCode,3,2,31,1,,,,0.0,2.0,0.0,,,,1.5,1.0,0.0,0,1,0,289,36,253,0,0,4,12,0,152,0,23,11
oracle_java_tutorial_projects,1,1,0,1,,,,,,,,,,1.0,1.0,,0,1,0,27,10,17,0,0,0,0,0,17,0,5,3
receive_payment_java,4,1,0,2,,,,,,,,,,4.0,1.0,,0,1,0,7,0,7,0,0,0,0,0,6,0,0,0
Aspose.BarCode-for-Java,456,30,4649,5,30.0,1.0,1.0,0.0781609195402298,10.0,0.0,1.8666666666666667,2.0,2.0,15.2,151.43333333333334,0.0781609195402298,1,0,1,1162,41,1121,0,0,0,4,3,1051,0,36,1
Aspose.Cells-for-Java,572,35,4711,5,46.0,28.0,1.0,0.1176470588235294,8.0,0.0,1.7173913043478262,2.107142857142857,3.607142857142857,16.34285714285714,313.1428571428572,0.1176470588235294,1,0,1,2440,307,2133,0,0,5,21,6,1886,0,257,14
Aspose.Diagram-for-Java,89,21,3015,3,16.0,5.0,1.0,0.0523809523809523,13.0,0.0,1.5625,2.0,2.0,4.238095238095238,178.9047619047619,0.0523809523809523,1,0,1,346,26,320,0,0,0,1,1,259,0,12,4
Aspose.Email-for-Java,201,33,3018,5,42.0,6.0,1.0,0.0946969696969697,12.0,0.0,1.4761904761904765,1.8333333333333333,0.8333333333333334,6.090909090909091,183.66666666666663,0.0946969696969697,1,0,1,850,180,670,0,0,1,4,3,430,0,113,49
