repo_name,total_design_smells,total_impl_smells,total_code_smells,God_Class,Feature_Envy,Unutilized_Abstraction,Deficient_Encapsulation,Unexploited_Encapsulation,Multifaceted_Abstraction,Insufficient_Modularization,Hub_Like_Modularization,Cyclically_Dependent_Modularization,Broken_Hierarchy,Rebellious_Hierarchy,Missing_Hierarchy,Wide_Hierarchy,Deep_Hierarchy,Long_Method,Complex_Method,Long_Parameter_List,Magic_Number,Duplicate_Code,Empty_Catch_Clause,Long_Statement,Long_Identifier,Missing_Default,Complex_Conditional,num_classes,num_methods,total_LOC,mean_LOC,median_LOC,mean_WMC,mean_NOF,mean_NOM,mean_FANIN,mean_FANOUT,mean_LCOM,mean_DIT,mean_method_LOC,mean_CC,max_CC,smell_density,commit_count,days_active,author_count,timezone_count,num_communities,num_tags,num_prs,num_issues,mean_author_days,mean_commits_per_author,max_commits_per_author,mean_centrality,mean_pr_participants,mean_issue_participants,mean_issue_comments,lone_wolf_indicator,radio_silence_indicator,org_silo_indicator
alfresco-api-java-examples,93,13,106,0,0,26,30,0,0,0,0,0,8,0,0,0,0,0,0,1,2,0,3,7,0,0,0,47,90,1452.0,30.89,10.0,3.04,2.23,1.91,0.83,0.83,-0.7345,0.66,9.9,1.59,5.0,73.0028,17,1325,2,4,1,0,2,5,663.5,8.5,16,1.0,1.5,1,0,1,0,0
amazon-kinesis-analytics-beam-taxi-consumer,11,18,29,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,2,0,13,48,358.0,27.54,31.0,5.46,2.46,3.69,1.23,1.23,-0.1026,0.15,6.27,1.48,5.0,81.0056,83,1588,9,6,2,7,22,2,286.89,9.22,37,0.2778,1,2,1.5,0,0,0
amazon-kinesis-analytics-streaming-etl,1,16,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,2,6,30,304.0,50.67,27.0,7.67,1.83,5.0,1.17,1.17,0.1875,0.0,9.3,1.53,10.0,55.9211,77,1310,8,5,3,2,23,3,313.75,9.62,47,0.25,0.74,1,0.33,0,0,1
aws-cognito-java-desktop-app,6,160,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,141,0,2,14,0,1,1,14,60,1480.0,105.71,75.0,7.93,3.21,4.29,1.79,1.79,-0.4619,0.0,19.63,1.85,10.0,112.1622,39,2368,15,7,5,0,7,10,211.2,2.6,7,0.3143,1.71,2.4,2.3,0,0,1
azure-cosmos-cassandra-extensions-java-sample-v4,1,10,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,6,0,0,0,3,15,414.0,138.0,105.0,9.33,9.67,5.0,1.0,1.0,0.1111,0.0,17.53,1.87,5.0,26.57,53,492,6,4,2,3,8,1,148.33,8.83,17,0.7333,1.25,3,1,0,0,0
azure-functions-samples-java,43,37,80,0,0,31,10,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,20,0,0,0,41,117,904.0,22.05,12.0,3.17,1.34,2.85,0.29,0.29,-0.389,0.02,5.53,1.11,3.0,88.4956,68,1658,14,10,4,0,41,5,177.93,4.86,26,0.1648,2.07,1.4,0.6,0,0,1
clean-architecture-example,53,169,222,0,0,39,7,0,0,0,0,0,1,0,0,0,0,0,0,4,50,0,0,49,66,0,0,71,310,1723.0,24.27,14.0,4.69,2.11,4.37,1.61,1.61,-0.3297,0.03,4.58,1.07,4.0,128.845,125,44,3,2,1,0,4,10,37,41.67,96,1.0,1.5,1.8,1.6,0,0,0
clickstream-consumer-for-apache-kafka,13,192,205,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,8,1,164,0,0,16,0,2,1,8,110,1204.0,150.5,70.0,23.75,7.5,13.75,1.5,1.5,-0.0832,0.0,7.63,1.73,13.0,170.2658,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clickstream-producer-for-apache-kafka,11,248,259,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,12,3,187,0,0,41,1,3,1,9,134,1729.0,192.11,128.0,30.11,11.56,14.89,2.33,2.33,0.1049,0.0,8.87,2.02,21.0,149.7976,57,1823,11,7,4,0,26,2,379.82,5.18,14,0.2727,1.08,1.5,1.5,0,0,1
ctrader-open-api-v2-java-example,13,54,67,0,0,5,3,0,0,1,0,0,1,0,0,0,0,0,1,0,18,0,0,32,1,0,2,28,131,1094.0,39.07,28.5,7.46,2.18,4.68,2.32,2.32,-0.3482,0.07,7.51,1.6,14.0,61.2431,31,2057,10,4,4,0,13,8,396.6,3.1,11,0.2222,1.38,2,2.38,0,0,1
