repo_name,commit_count,days_active,author_count,timezone_count,num_communities,num_tags,num_prs,num_issues,mean_author_days,mean_commits_per_author,max_commits_per_author,mean_centrality,mean_pr_participants,mean_issue_participants,mean_issue_comments,lone_wolf_indicator,radio_silence_indicator,org_silo_indicator
OpenPgp-BounceCastle-Example,6,1166,2,2,1,0,1,6,584,3,4,1.0,1,1.67,1,1,0,0
TA-Lib-Java-Examples,4,1302,3,2,1,0,1,3,435,1.33,2,0.6667,2,1.33,0.67,0,0,0
acr-dotnet-manage-azure-container-registry,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acr-tasks,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
active-directory-b2c-dotnet-desktop,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akka-java-examples,12,33,1,2,1,0,3,2,34,12,12,1.0,1.33,2,1.5,1,0,0
alfresco-api-java-examples,17,1325,2,4,1,0,2,5,663.5,8.5,16,1.0,1.5,1,0,1,0,0
amazon-cloudfront-secure-static-site,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amazon-elasticache-samples,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amazon-ivs-player-web-sample,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amazon-kinesis-analytics-beam-taxi-consumer,83,1588,9,6,2,7,22,2,286.89,9.22,37,0.2778,1,2,1.5,0,0,0
amazon-kinesis-analytics-streaming-etl,77,1310,8,5,3,2,23,3,313.75,9.62,47,0.25,0.74,1,0.33,0,0,1
amazon-rekognition-custom-labels-demo,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amazon-rekognition-engagement-meter,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amazon-rekognition-ppe,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amazon-rekognition-virtual-proctor,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amazon-workspaces-portal-sample,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
app-service-dotnet-manage-functions,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
app-service-dotnet-manage-web-apps,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
app-service-dotnet-manage-web-apps-on-linux,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
app-service-dotnet-scale-web-apps,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
app-service-dotnet-scale-web-apps-on-linux,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aws-cdk-emr-s3-trigger,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aws-codepipeline-bitbucket-integration,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aws-cognito-java-desktop-app,39,2368,15,7,5,0,7,10,211.2,2.6,7,0.3143,1.71,2.4,2.3,0,0,1
aws-dataexchange-api-samples,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aws-marketplace-serverless-saas-integration,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aws-multi-region-bc-dr-workshop,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aws-serverless-security-workshop,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
azure-cosmos-cassandra-extensions-java-sample-v4,53,492,6,4,2,3,8,1,148.33,8.83,17,0.7333,1.25,3,1,0,0,0
azure-functions-samples-java,68,1658,14,10,4,0,41,5,177.93,4.86,26,0.1648,2.07,1.4,0.6,0,0,1
azure-service-operator-samples,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
azure-sql-db-dotnet-rest-api,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
