repo_name,num_classes,num_methods,total_LOC,mean_LOC,median_LOC,mean_WMC,mean_NOF,mean_NOM,mean_FANIN,mean_FANOUT,mean_LCOM,mean_DIT,mean_method_LOC,mean_CC,max_CC,smell_density
pit-example,2,2,21.0,10.5,10.5,2.0,0.0,1.0,0.5,0.5,-1.0,0.0,8.5,2.0,3.0,142.8571
play-demo-twitbookplus,16,71,430.0,26.88,18.0,5.12,3.25,4.44,1.25,1.25,-0.233,0.0,4.8,1.15,3.0,51.1628
potential-octo-chainsaw,33,54,528.0,16.0,13.0,2.55,1.94,1.64,0.52,0.52,-0.7576,0.36,6.74,1.56,5.0,172.3485
project-k,231,643,8499.0,36.79,34.0,7.65,0.41,2.78,1.19,1.19,-0.8074,0.01,12.34,2.75,13.0,101.7767
reactive-refarch-cloudformation,9,56,557.0,61.89,82.0,8.67,4.78,6.22,1.11,1.11,0.0967,0.0,8.7,1.39,5.0,46.6786
receive_payment_java,1,4,82.0,82.0,82.0,13.0,3.0,4.0,1.0,1.0,0.5,0.0,17.0,3.25,5.0,85.3659
redisson-examples,62,176,1704.0,27.48,24.0,3.34,0.9,2.84,0.15,0.15,-0.7572,0.02,9.34,1.18,5.0,153.169
sc-contract-car-rental,21,47,457.0,21.76,12.0,2.9,1.48,2.24,0.33,0.33,0.0627,0.0,7.11,1.3,5.0,109.4092
sdacademy-examples,366,992,6706.0,18.32,14.0,3.29,0.81,2.71,0.66,0.66,-0.5497,0.16,5.52,1.21,9.0,92.1563
sendOTPSample-JAVA,3,7,148.0,49.33,51.0,4.0,3.67,2.33,1.0,1.0,0.0,0.0,18.29,1.71,4.0,33.7838
sleuth-documentation-apps,14,33,259.0,18.5,11.0,2.5,1.36,2.36,0.21,0.21,-0.3321,0.0,6.55,1.06,3.0,185.3282
sleuth-issues,65,217,1581.0,24.32,14.0,4.31,1.65,3.34,0.66,0.66,-0.1123,0.02,5.69,1.29,5.0,65.7812
solent2Public,1921,8407,69417.0,36.14,24.0,6.04,1.9,4.38,1.52,1.52,-0.2078,0.06,6.38,1.38,15.0,53.4595
solid,32,86,445.0,13.91,13.0,2.81,1.03,2.69,0.19,0.19,-0.1688,0.56,2.76,1.05,3.0,89.8876
